Country,Year,tax,ets,fit,rps,pricing,techpol,tax_imp,ets_imp,fit_imp,rps_imp,pricing_imp,techpol_imp,tax_exp,ets_exp,fit_exp,rps_exp,pricing_exp,techpol_exp,tax_impexp,ets_impexp,fit_impexp,rps_impexp,pricing_impexp,techpol_impexp,tax_eu,ets_eu,fit_eu,rps_eu,pricing_eu,techpol_eu,tax_contig,tax_comlang_off,tax_comrelig,tax_comcol,tax_col45,tax_fta_hmr,tax_fta_wto,ets_contig,ets_comlang_off,ets_comrelig,ets_comcol,ets_col45,ets_fta_hmr,ets_fta_wto,fit_contig,fit_comlang_off,fit_comrelig,fit_comcol,fit_col45,fit_fta_hmr,fit_fta_wto,rps_contig,rps_comlang_off,rps_comrelig,rps_comcol,rps_col45,rps_fta_hmr,rps_fta_wto,pricing_contig,pricing_comlang_off,pricing_comrelig,pricing_comcol,pricing_col45,pricing_fta_hmr,pricing_fta_wto,techpol_contig,techpol_comlang_off,techpol_comrelig,techpol_comcol,techpol_col45,techpol_fta_hmr,techpol_fta_wto,tax_ODA,ets_ODA,fit_ODA,rps_ODA,pricing_ODA,techpol_ODA,patents_ds_imp,capacity_ws_ds_imp,patents_ds_exp,capacity_ws_ds_exp,patents_ds_eu,capacity_ws_ds_eu,patents_ds_imp_imp,capacity_ws_ds_imp_imp,patents_ds,tax_leakage_index,ets_leakage_index,fit_leakage_index,rps_leakage_index,pricing_leakage_index,techpol_leakage_index,tax_share,ets_share,fit_share,rps_share,pricing_share,techpol_share,capacity_ds_global,patents_ds_global,ff_perc_tot,co2_int,ffperctot_co2int,innovator,Duration,imports,exports,co2_tot,co2_pc,gdp_pc_ppp,pop_tot,v2x_polyarchy,v2x_libdem,UniqueID,gdp_pc_ppp_sc,pop_tot_sc,co2_int_sc,ff_perc_tot_sc,v2x_polyarchy_sc
Albania,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.01231245525549984,0.0,0.13932508037250077,0.0,0.01231245525549984,0.13932508037250077,0.010700099118340035,0.0,0.09721023098204795,0.0,0.010700099118340035,0.09721023098204795,0.011753917072300274,0.0,0.1247360259309041,0.0,0.011753917072300274,0.1247360259309041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.23303167420814483,0.0,0.0,0.23303167420814483,1.3985501502614988,60.10905850847046,1.1836900575112075,24.582208456604672,0.0,0.0,33.60981675469275,1444.5348573228162,,12.471285928295789,0.0,87.28716285337174,0.0,12.471285928295789,87.28716285337174,0.0,0.0,0.055157289232961426,0.0,0.0,0.055157289232961426,2.5370907239158766,,0.10219675262655206,90.68194842406876,9.267400650788309,0,1.0,24.03189957,15.40506383,5515.168000000001,1.678106654,4927.877412,3286542.0,0.182,0.081,Albania_1990,-7.0867667232646765,-8.990286808007049,-7.772832032162099,-8.380650588383054,-6.448447494601959
Albania,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.00017393136683043698,0.0,0.12027609481541697,0.0,0.00017393136683043698,0.12027609481541697,0.0008821730649585874,0.0,0.12615325330286326,0.0,0.0008821730649585874,0.12615325330286326,0.0003556982288108503,0.0,0.12178443957744958,0.0,0.0003556982288108503,0.12178443957744958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000656000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000205,0.0,0.0,0.0,0.0,0.0,0.0,0.000656000029,0.0,0.0,0.0,0.0,0.008497892167739074,0.0,0.07601508764144664,0.0,0.008497892167739074,0.07601508764144664,1.673983895486601,100.77307518017909,1.4230590198886497,53.55345370284852,0.0,0.0,47.85200368434975,2880.6690302139664,,0.00026089705024565546,0.0,71.98261448083323,0.0,0.00026089705024565546,71.98261448083323,1.7286815576654863e-05,0.0,0.05404379190570656,0.0,1.7286815576654863e-05,0.05404379190570656,2.710860440329969,,0.04339467179346333,51.018950837681956,2.2139506268480496,0,2.0,28.58570134,7.484818725,4286.723,1.3122126,3569.418275,3266790.0,0.29100000000000004,0.213,Albania_1991,-7.889852521088405,-8.996355148216377,-8.74696370079072,-9.312393648232243,-4.32141879631412
Albania,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.002126687855104695,0.0,0.35535578725542916,0.0,0.002126687855104695,0.35535578725542916,0.0033216167401005853,0.0,0.3567582953494535,0.0,0.0033216167401005853,0.3567582953494535,0.0023247101320741192,0.0,0.3555882093265115,0.0,0.0023247101320741192,0.3555882093265115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000861000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.000861000029,0.0,0.0,0.0,0.0,0.0026346494034400992,0.0,0.7404870337611502,0.0,0.0026346494034400992,0.7404870337611502,2.200715251442795,155.66730729079535,1.9213915443849083,119.64843479973784,0.0,0.0,211.89780626512723,14988.563786475128,,1.4921844132464397,0.0,188.34060931776264,0.0,1.4921844132464397,188.34060931776264,0.0002588109210753463,0.0,0.07093638196247323,0.0,0.0002588109210753463,0.07093638196247323,2.7975965772403546,,0.03716012084592145,32.73716012084592,1.216516826242915,0,3.0,96.28588075,12.49959149,2515.562,0.774724911,3333.0317219999997,3247039.0,0.39,0.311,Albania_1992,-8.029598118390686,-9.002423181199084,-9.195968374674045,-9.411182662062167,-2.3895303455756265
Albania,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.01076739814246097,0.0,0.47937024215013013,0.0,0.01076739814246097,0.47937024215013013,0.0033042379051291797,0.0,0.4656015233096793,0.0,0.0033042379051291797,0.4656015233096793,0.009086042533709931,0.0,0.4762683239396772,0.0,0.009086042533709931,0.4762683239396772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025051001039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.025051001039,0.0,0.0,0.0,0.0,0.006953580154106372,0.0,0.6103489319050304,0.0,0.006953580154106372,0.6103489319050304,1.3636820615226022,63.85470999346832,1.2480820870155,101.29348437505503,0.0,0.0,88.01136244613689,4121.15124463339,,10.018509082956436,0.0,257.9621980103118,0.0,10.018509082956436,257.9621980103118,0.0003028764582498344,0.0,0.11606732685512261,0.0,0.0003028764582498344,0.11606732685512261,3.0591967088849565,,0.04649811101424005,52.1848299912816,2.4264960181938555,0,4.0,64.53950296,15.97882981,2335.879,0.723790292,3673.999179,3227287.0,0.447,0.313,Albania_1993,-7.828027003898802,-9.008491521408413,-8.71832946045521,-9.263218382414179,-1.277230934544372
Albania,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.010773847915652064,0.0,0.7440536520514435,0.0,0.010773847915652064,0.7440536520514435,0.005946067080002986,0.0,0.6804661238514976,0.0,0.005946067080002986,0.6804661238514976,0.008512588694666439,0.0,0.7142702195849033,0.0,0.008512588694666439,0.7142702195849033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.028126000939000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,1.0,0.0,0.028126000939000004,0.0,0.0,0.0,0.0,0.017223910840932118,0.0,0.52016210739615,0.0,0.017223910840932118,0.52016210739615,0.9279983510237979,66.13244849395232,2.3065713253709648,246.10246170662865,0.0,0.0,38.15826247784829,2719.292900845146,,6.957271195587817,0.0,503.15064761553936,0.0,6.957271195587817,503.15064761553936,0.0006292667459031066,0.0,0.13459112016862215,0.0,0.0006292667459031066,0.13459112016862215,3.334735297004766,,0.032400207361327114,53.76671850699845,1.742052828764854,0,5.0,41.11889039,11.98369435,1925.175,0.600203708,4003.548149,3207536.0,0.439,0.36,Albania_1994,-7.633206202679194,-9.01455955439112,-8.679477941579375,-9.48660544118698,-1.4333431325838468
Albania,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.013408608568775678,0.0,0.7128730600875447,0.0,0.013408608568775678,0.7128730600875447,0.007236849137884948,0.0,0.6937006274786472,0.0,0.007236849137884948,0.6937006274786472,0.011947336051570565,0.0,0.7083336497017277,0.0,0.011947336051570565,0.7083336497017277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.028126000939000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,1.0,0.0,0.028126000939000004,0.0,0.0,0.0,0.0,0.0500259470679813,0.0,0.6577062791904513,0.0,0.0500259470679813,0.6577062791904513,0.8887311603801494,84.5155330455115,1.5885413624873508,153.80024101785645,0.0,0.0,31.078720164388972,2955.488361567174,,8.300492439315544,0.0,504.0589557633637,0.0,8.300492439315544,504.0589557633637,0.0005994626701550082,0.0,0.13808125198891552,0.0,0.0005994626701550082,0.13808125198891552,4.029476247119967,,0.045193851800871765,39.06400550584996,1.7654528755798218,0,6.0,34.96976538,12.6408295,2086.5229999999997,0.6545371329999999,4565.025596,3187784.0,0.449,0.364,Albania_1995,-7.301275303027829,-9.020627894600446,-9.040579704449971,-9.283884903957007,-1.2382028850345037
Albania,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.006041290578072303,0.0,0.6949537950806033,0.0,0.006041290578072303,0.6949537950806033,0.0035816228205734105,0.0,0.7888206097849193,0.0,0.0035816228205734105,0.7888206097849193,0.005578557270850749,0.0,0.7126128067394168,0.0,0.005578557270850749,0.7126128067394168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.028126000939000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,1.0,0.0,0.028126000939000004,0.0,0.0,0.0,0.0,0.030822355799974416,0.0,0.667476659419363,0.0,0.030822355799974416,0.667476659419363,1.2803923583611072,138.50419472538627,1.4968044320285185,162.60356294678218,0.0,0.0,42.60518189432884,4608.740727690577,,4.021254368244885,0.0,434.191029378619,0.0,4.021254368244885,434.191029378619,0.0008540162662808655,0.0,0.13516906266123221,0.0,0.0008540162662808655,0.13516906266123221,4.8004963914615075,,0.032098343862045416,15.857947754823288,0.509013859980669,0,7.0,33.27509854,11.62032872,2016.85,0.6366253129999999,5011.493311,3168033.0,0.40399999999999997,0.337,Albania_1996,-7.037335173113335,-9.026695927583154,-9.610525425523221,-9.491388591995467,-2.1163339990065477
Albania,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.021151476013888625,0.0,0.7967044950304761,0.0,0.021151476013888625,0.7967044950304761,0.018115304142520647,0.0,0.7749580992266757,0.0,0.018115304142520647,0.7749580992266757,0.020587752663793098,0.0,0.7926668609259554,0.0,0.020587752663793098,0.7926668609259554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00368999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.042886000939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00368999991,0.0,0.0,0.0,0.0,1.0,0.0,0.042886000939,0.0,0.0,0.0,0.0,0.02889265749638841,0.0,0.6954965140380628,0.0,0.02889265749638841,0.6954965140380628,1.0340783622579819,159.10396276739377,1.5478665221631618,236.74709464219387,0.0,0.0,36.42892974453944,5604.978590863527,,9.398085575058705,0.0,496.1617697239085,0.0,9.398085575058705,496.1617697239085,0.0004568757938261842,0.0,0.1313790510902512,0.0,0.0004568757938261842,0.1313790510902512,5.812861914866833,,0.02868292682926829,18.12292682926829,0.5198185841760856,0,8.0,35.22840345,10.1971199,1543.807,0.49036506,4492.247228,3148281.0,0.377,0.311,Albania_1997,-7.344299986021728,-9.032764267792482,-9.554897057032099,-9.545507274050507,-2.643212667389773
Albania,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.02153795771606249,0.0,0.798154223506541,0.0,0.02153795771606249,0.798154223506541,0.017615097736625535,0.0,0.864377572016462,0.0,0.017615097736625535,0.864377572016462,0.02072885189613291,0.0,0.8118130583809616,0.0,0.02072885189613291,0.8118130583809616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00368999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.043091000939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00368999991,0.0,0.0,0.0,0.0,1.0,0.0,0.043091000939,0.0,0.0,0.0,0.0,0.052140423640942075,0.0,0.6364242334468967,0.0,0.052140423640942075,0.6364242334468967,1.0656026060258523,200.7635954144119,1.6325394099485067,291.220064745291,0.0,0.0,39.07599866837066,7362.067193443538,,9.328579961787883,0.0,495.33264152220175,0.0,9.328579961787883,495.33264152220175,0.00045107964317017923,0.0,0.12939148229640277,0.0,0.00045107964317017923,0.12939148229640277,7.547690302756571,,0.02754491017964072,24.7185628742515,0.6808705941410593,0,9.0,36.67032949,11.46715404,1752.826,0.560271437,4919.781250999999,3128530.0,0.40700000000000003,0.332,Albania_1998,-7.0915529636004395,-9.038832300775189,-9.392906830948638,-9.563539614067405,-2.0577919247417427
Albania,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.022722499555727877,0.0,0.7649073490686439,0.3797718864602008,0.022722499555727877,0.7649073490686439,0.018516076279903985,0.0,0.9105583836678701,0.6734629282831741,0.018516076279903985,0.9105583836678701,0.021736307363135463,0.0,0.799055104476504,0.4486274897811524,0.021736307363135463,0.799055104476504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00368999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.046371000839,0.0,0.0,0.0,0.0,0.0,0.0,0.000205,0.0,0.0,0.0,0.0,0.0,0.0,0.00368999991,0.0,0.0,0.0,0.0,1.0,0.0,0.046371000839,0.0,0.0,0.0,0.0,0.04427271995492232,0.0,0.6902787839759584,0.3057500872038423,0.04427271995492232,0.6902787839759584,1.3751146235485852,382.1413379826242,1.720423627232341,450.7561039473439,0.0,0.0,46.98669739585931,13057.500155079952,,8.753810239260728,0.0,457.87944474062584,190.37964668249867,8.753810239260728,457.87944474062584,0.0003914063824444735,0.0,0.13651069146861075,0.014991074966844205,0.0003914063824444735,0.13651069146861075,11.006394521881315,,0.019861345325089003,22.134719880082443,0.43962531521243003,0,10.0,34.16929512,16.84177663,2984.938,0.960164412,5589.223583,3108778.0,0.39799999999999996,0.319,Albania_1999,-6.695796024986541,-9.044900640984517,-9.456366565223693,-9.685288846861582,-2.2334181475361534
